the_geom,lat,long,station_name,borough,train_lines,service,unit,c-a,ct_median_income_2018_ACS,ct_shape_leng,ct_shape_area
0101000020E6100000C022BF7E888A52C068B3EA73B5454440,40.5446,-74.164581,ELTINGVILLE PK,Staten Island,Z,SRT,X002,R470,"$102,569",14879.25076,12148065.92
0101000020E61000002E3D9AEAC98452C055A0168387514440,40.636948,-74.074824,TOMPKINSVILLE,Staten Island,1,SRT,S102,R165,"$214,732",20581.39864,9302937.783
0101000020E610000008910C39B68452C0A298BC0166524440,40.643738,-74.073622,ST. GEORGE,Staten Island,1,SRT,S101,R070,"$77,917",16590.28403,4116728.792
0101000020E610000008910C39B68452C0A298BC0166524440,40.643738,-74.073622,ST. GEORGE,Staten Island,1,SRT,S101A,R070,"$77,917",16590.28403,4116728.792
0101000020E61000009DD66D50FB8152C0E0F60489ED4E4440,40.616624,-74.030964,BAY RIDGE-95 ST,Brooklyn,R,BMT,C027,R216,"$34,167",7538.724289,1740560.579
0101000020E61000009DD66D50FB8152C0E0F60489ED4E4440,40.616624,-74.030964,BAY RIDGE-95 ST,Brooklyn,R,BMT,C028,R216,"$34,167",7538.724289,1740560.579
0101000020E6100000301004C8D08152C044DD0720B54F4440,40.622715,-74.028368,86 ST,Brooklyn,R,BMT,C025,R215,"$74,531",7935.130185,2785264.013
0101000020E6100000301004C8D08152C044DD0720B54F4440,40.622715,-74.028368,86 ST,Brooklyn,R,BMT,C026,R215,"$74,531",7935.130185,2785264.013
0101000020E6100000C5E57805A28152C0E71C3C139A504440,40.629702,-74.025514,77 ST,Brooklyn,R,BMT,C024,R214,"$83,309",8233.665648,2322222.142
0101000020E610000077D7D9907F8152C01EE1B4E045514440,40.634945,-74.023411,BAY RIDGE AVE,Brooklyn,R,BMT,C023,R213,"$52,228",5840.803227,1996655.736
0101000020E6100000990F0874268152C0ED66463F1A524440,40.641426,-74.017972,59 ST,Brooklyn,NR,BMT,C021,R212,"$38,490",4994.563857,1516612.999
0101000020E6100000990F0874268152C0ED66463F1A524440,40.641426,-74.017972,59 ST,Brooklyn,NR,BMT,C022,R212,"$38,490",4994.563857,1516612.999
0101000020E610000001FA7DFFE68052C09D67EC4B365A4440,40.704782,-74.014099,BOWLING GREEN,Manhattan,45,IRT,R201,R041,"$108,250",8906.314403,3516583.006
0101000020E610000001FA7DFFE68052C09D67EC4B365A4440,40.704782,-74.014099,BOWLING GREEN,Manhattan,45,IRT,R200A,R041,"$108,250",8906.314403,3516583.006
0101000020E610000001FA7DFFE68052C09D67EC4B365A4440,40.704782,-74.014099,BOWLING GREEN,Manhattan,45,IRT,R202,R042,"$108,250",8906.314403,3516583.006
0101000020E61000000DC2DCEEE58052C064213A048E524440,40.644959,-74.014034,53 ST,Brooklyn,R,BMT,C020,R233,"$35,369",4980.047514,1510401.691
0101000020E6100000F84F3750E08052C07B6649809A5A4440,40.70784,-74.013691,RECTOR ST,Manhattan,1,IRT,R103,R304,"$108,250",8906.314403,3516583.006
0101000020E6100000F84F3750E08052C07B6649809A5A4440,40.70784,-74.013691,RECTOR ST,Manhattan,1,IRT,R102,R304,"$108,250",8906.314403,3516583.006
0101000020E6100000E3C3EC65DB8052C080812040865A4440,40.707222,-74.013391,RECTOR ST,Manhattan,R,BMT,A055,R227,"$108,250",8906.314403,3516583.006
0101000020E6100000E3C3EC65DB8052C080812040865A4440,40.707222,-74.013391,RECTOR ST,Manhattan,R,BMT,A054,R227,"$108,250",8906.314403,3516583.006
0101000020E6100000DE3AFF76D98052C02907B309305A4440,40.704591,-74.013273,2 BDWY CUST SRV,Manhattan,45,IRT,MCC07,R076,"$164,600",16461.00823,3133615.592
0101000020E6100000B439CE6DC28052C01684F23E8E5A4440,40.707466,-74.011867,WALL ST,Manhattan,45,IRT,R203,R043,"$157,992",9802.917997,2442011.746
0101000020E6100000B439CE6DC28052C01684F23E8E5A4440,40.707466,-74.011867,WALL ST,Manhattan,45,IRT,R203A,R043,"$157,992",9802.917997,2442011.746
0101000020E6100000B439CE6DC28052C01684F23E8E5A4440,40.707466,-74.011867,WALL ST,Manhattan,45,IRT,R204,R043,"$157,992",9802.917997,2442011.746
0101000020E6100000B439CE6DC28052C01684F23E8E5A4440,40.707466,-74.011867,WALL ST,Manhattan,45,IRT,R204A,R043,"$157,992",9802.917997,2442011.746
0101000020E6100000AAF3A8F8BF8052C0D5CC5A0A48514440,40.635011,-74.011717,8 AVE,Brooklyn,N,BMT,D002,R390,"$84,063",7958.054618,2359854.017
0101000020E61000003C6A4C88B98052C0FCA71B28F05A4440,40.710454,-74.011324,CORTLANDT ST,Manhattan,1,IRT,R107,R305,"$108,250",8906.314403,3516583.006
0101000020E61000003C6A4C88B98052C0FCA71B28F05A4440,40.710454,-74.011324,CORTLANDT ST,Manhattan,1,IRT,R106,R305,"$108,250",8906.314403,3516583.006
0101000020E61000003C6A4C88B98052C0FCA71B28F05A4440,40.710454,-74.011324,CORTLANDT ST,Manhattan,1,IRT,R108,R305,"$108,250",8906.314403,3516583.006
0101000020E61000003C6A4C88B98052C0FCA71B28F05A4440,40.710454,-74.011324,CORTLANDT ST,Manhattan,1,IRT,R109,R305,"$108,250",8906.314403,3516583.006
0101000020E61000008CA37213B58052C04641F0F8F65A4440,40.710662,-74.011052,CORTLANDT ST,Manhattan,R,BMT,A050,R088,"$108,250",8906.314403,3516583.006
0101000020E61000008CA37213B58052C04641F0F8F65A4440,40.710662,-74.011052,CORTLANDT ST,Manhattan,R,BMT,A052,R088,"$108,250",8906.314403,3516583.006
