station_name,train_lines,income,long,lat,entry_dif,exit_dif
1 AVE,L,74965,-73.981719,40.730901,29434,38556
103 ST,BC,15455,-73.961399,40.796105,3737,2020
104 ST,JZ,83571,-73.844326,40.695184,2264,1094
111 ST,J,124699,-73.836354,40.697405,1925,1050
116 ST,BC,39596,-73.954833,40.805072,11512,6908
121 ST,JZ,22970,-73.828382,40.700536,1690,948
125 ST,ACBD,30405,-73.952386,40.811056,46028,35926
135 ST,BC,23973,-73.947644,40.817902,13839,10716
14 ST,ACEL,29939,-74.002104,40.740388,14070,15144
145 ST,ABCD,28365,-73.944232,40.824787,39910,38678
14TH STREET,1,34167,-73.996785,40.737434,7994,8658
15 ST-PROSPECT,FG,28601,-73.979509,40.660376,12388,6110
155 ST,BD,21526,-73.938632,40.829934,2517,1008
155 ST,C,22315,-73.941486,40.830551,2429,1484
163 ST-AMSTERDM,C,51853,-73.939898,40.835957,3827,2782
167 ST,BD,31225,-73.91843,40.833773,8366,5338
169 ST,F,30938,-73.7936,40.710459,14980,12610
170 ST,BD,35137,-73.913355,40.839301,10686,4942
175 ST,A,23750,-73.939683,40.847369,23502,11944
18 AVE,D,67917,-74.001782,40.607957999999996,5501,1282
18 AVE,F,36007,-73.977149,40.629881,6252,4108
18 AVE,N,58553,-73.990388,40.620728,3780,1749
181 ST,A,36902,-73.937967,40.851686,19254,13560
190 ST,A,66525,-73.93419,40.859022,815,-592
2 AVE,F,48832,-73.989873,40.723291,30858,31394
20 AVE,D,0,-73.998456,40.604798,4376,1180
20 AVE,N,50735,-73.985088,40.617373,3540,2932
23 ST,6,52228,-73.986429,40.740088,29144,24464
23 ST,CE,121183,-73.998005,40.745924,67635,42936
25 AVE,D,60792,-73.986955,40.597873,4503,747
25 ST,R,67614,-73.998059,40.660481,6500,5178
3 AVE,L,93077,-73.987169,40.733243,11132,11900
33 ST,6,39154,-73.981826,40.746119,37980,28524
34 ST-PENN STA,ACE,100813,-73.993456,40.752247,586248,552984
36 ST,DNR,83605,-74.003477,40.65515,11736,5340
36 ST,MR,0,-73.92874,40.75202,8246,4932
42 ST-BRYANT PK,BDFM7,83605,-73.984573,40.754198,114945,119742
45 ST,R,59630,-74.010086,40.648866,6595,3232
46 ST,MR,17438,-73.913333,40.756312,22215,15639
50 ST,CE,31250,-73.985989,40.762439,39650,25308
50 ST,D,32222,-73.994765,40.636232,2877,2460
51 ST,6,53131,-73.97187,40.757108,6774,9441
53 ST,R,35369,-74.014034,40.644959,7624,7449
55 ST,D,34918,-73.995473,40.631412,1702,756
57 ST,F,138235,-73.977449,40.763625,11957,13275
6 AVE,FLM123,41875,-73.9969,40.737348,-55,1931
63 DR-REGO PARK,MR,62857,-73.86161,40.729869,28316,10200
65 ST,MR,70733,-73.898485,40.749663,3007,1680
66 ST-LINCOLN,1,28008,-73.982234,40.773424,15945,18294
67 AVE,MR,78213,-73.85263,40.726462,17636,8300
7 AVE,BQ,16121,-73.972514,40.677172,9069,7685
71 ST,D,50625,-73.998842,40.619588,4634,1293
72 ST,123,17778,-73.981912,40.778575,54270,58900
72 ST,BC,15455,-73.976398,40.775545,7483,7295
75 AVE,EF,86750,-73.837223,40.718477,3394,23
77 ST,R,83309,-74.025514,40.629702,5340,1937
79 ST,D,61250,-74.000645,40.613513,5771,1664
8 AVE,ACEL,29939,-74.002104,40.740388,16375,12626
8 AVE,N,84063,-74.011717,40.635011,9906,9913
81 ST-MUSEUM,BC,15455,-73.972149,40.781435,19462,17146
86 ST,BC,15455,-73.968952,40.785822,20764,18408
86 ST,N,52455,-73.978243,40.592676,1979,1743
86 ST,R,74531,-74.028368,40.622715,20642,13930
9 AVE,D,0,-73.994551,40.646343,4710,3786
96 ST,123,116534,-73.972363,40.79388,24794,22732
96 ST,BC,15455,-73.964682,40.791654,16314,13396
ALABAMA AVE,J,31222,-73.898871,40.677107,1410,1276
ATLANTIC AVE,L,40385,-73.902819,40.675496,1368,472
BAY 50 ST,D,46250,-73.983629,40.588879,2365,535
BAY RIDGE AVE,R,52228,-74.023411,40.634945,7621,3929
BAY RIDGE-95 ST,R,34167,-74.030964,40.616624,10862,6222
BEACH 105 ST,AS,65417,-73.82643,40.583542,275,197
BEACH 25 ST,A,60294,-73.76152,40.600138,1415,1570
BEACH 36 ST,A,84881,-73.768194,40.595381,745,768
BEACH 44 ST,A,40833,-73.776433,40.593214,535,529
BEACH 60 ST,A,32316,-73.788493,40.592334,1449,1115
BEACH 67 ST,A,78256,-73.797011,40.590867,1654,981
