C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,337556,1029327
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,337556,1029331
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,337558,1029381
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,337563,1029418
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,337578,1029468
A033,R170,'02-00-00,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,337594,1029489
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,2545124,3067780
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,2545124,3067783
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,2545130,3067850
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,2545136,3067882
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T17:00:00Z,REGULAR,2545150,3067916
A033,R170,'02-00-01,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T21:00:00Z,REGULAR,2545161,3067929
A033,R170,'02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T01:00:00Z,REGULAR,15135406,14725507
A033,R170,'02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T05:00:00Z,REGULAR,15135406,14725510
A033,R170,'02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T09:00:00Z,REGULAR,15135410,14725531
A033,R170,'02-00-02,14 ST-UNION SQ,LNQR456W,BMT,2020-03-27T00:00:00Z,1899-12-31T13:00:00Z,REGULAR,15135416,14725545
